Signal ID,Phase #,Date,Plan,Start Hour,End Hour,Programmed Split (sec),Average Split (sec)
7162,1,2025-10-13,47,0,6,14.48,13.14
7162,1,2025-10-13,10,7,8,15.00,15.34
7162,1,2025-10-13,10,9,9,15.06,14.85
7162,1,2025-10-13,20,10,14,17.08,15.53
7162,1,2025-10-13,31,15,18,20.00,16.91
7162,1,2025-10-13,61,19,19,20.00,18.32
7162,1,2025-10-13,47,20,20,15.52,13.77
7162,1,2025-10-13,47,21,21,16.04,15.46
7162,1,2025-10-13,71,22,23,15.00,14.43
7162,2,2025-10-13,47,0,6,0.55,89.97
7162,2,2025-10-13,10,7,8,75.45,96.72
7162,2,2025-10-13,10,9,9,75.27,92.73
7162,2,2025-10-13,20,10,12,73.45,90.00
7162,2,2025-10-13,20,13,14,73.09,76.28
7162,2,2025-10-13,31,15,18,88.55,87.53
7162,2,2025-10-13,61,19,19,86.55,86.19
7162,2,2025-10-13,47,20,20,68.18,63.96
7162,2,2025-10-13,47,21,21,56.00,60.40
7162,2,2025-10-13,71,22,23,92.91,90.78
7162,4,2025-10-13,47,0,6,22.73,18.85
7162,4,2025-10-13,10,7,9,40.00,30.17
7162,4,2025-10-13,20,10,14,40.00,34.46
7162,4,2025-10-13,31,15,18,40.00,38.28
7162,4,2025-10-13,61,19,19,38.31,26.75
7162,4,2025-10-13,47,20,21,40.00,39.70
7162,4,2025-10-13,71,22,22,38.31,18.50
7162,4,2025-10-13,71,23,23,14.16,15.01
7162,5,2025-10-13,47,0,6,20.65,13.15
7162,5,2025-10-13,10,7,9,21.69,18.42
7162,5,2025-10-13,20,10,14,21.69,18.61
7162,5,2025-10-13,31,15,15,38.31,36.72
7162,5,2025-10-13,31,16,18,40.00,35.82
7162,5,2025-10-13,61,19,19,39.35,20.82
7162,5,2025-10-13,47,20,20,30.00,20.64
7162,5,2025-10-13,47,21,21,17.40,15.57
7162,5,2025-10-13,71,22,23,12.99,12.75
7162,6,2025-10-13,47,0,6,0.55,89.43
7162,6,2025-10-13,10,7,9,66.18,89.69
7162,6,2025-10-13,20,10,14,66.18,81.74
7162,6,2025-10-13,31,15,18,65.27,74.10
7162,6,2025-10-13,61,19,19,50.18,65.01
7162,6,2025-10-13,47,20,20,56.55,62.95
7162,6,2025-10-13,47,21,21,53.09,58.51
7162,6,2025-10-13,71,22,23,92.91,91.76
7162,8,2025-10-13,47,0,6,22.73,18.92
7162,8,2025-10-13,10,7,9,40.00,30.79
7162,8,2025-10-13,20,10,10,39.61,28.15
7162,8,2025-10-13,20,11,11,40.00,34.04
7162,8,2025-10-13,20,12,12,39.80,33.59
7162,8,2025-10-13,20,13,14,40.00,38.89
7162,8,2025-10-13,31,15,15,0.39,40.41
7162,8,2025-10-13,31,16,18,40.00,38.18
7162,8,2025-10-13,61,19,19,38.31,31.65
7162,8,2025-10-13,47,20,21,38.31,39.59
7162,8,2025-10-13,71,22,22,38.31,18.49
7162,8,2025-10-13,71,23,23,14.55,18.72
7162,11,2025-10-13,47,0,6,52.26,58.26
7162,11,2025-10-13,10,7,9,52.26,58.26
7162,11,2025-10-13,20,10,14,52.26,58.26
7162,11,2025-10-13,31,15,18,52.26,56.74
7162,11,2025-10-13,61,19,19,53.09,47.97
7162,11,2025-10-13,47,20,21,52.26,53.06
7162,11,2025-10-13,71,22,23,52.26,53.06
