Signal ID,Phase #,Date,Plan,Time of day,Programmed Split (sec),Average Split (sec)
7,1,2025-10-13,17,0,12.23,14.96
7,1,2025-10-13,17,1,12.23,14.41
7,1,2025-10-13,17,2,12.23,13.86
7,1,2025-10-13,17,3,12.16,13.30
7,1,2025-10-13,17,4,12.23,12.76
7,1,2025-10-13,11,5,13.87,12.84
7,1,2025-10-13,11,6,13.87,13.57
7,1,2025-10-13,10,7,16.75,15.80
7,1,2025-10-13,10,8,16.75,17.25
7,1,2025-10-13,11,9,13.87,14.22
7,1,2025-10-13,11,10,13.87,13.90
7,1,2025-10-13,20,11,14.81,13.56
7,1,2025-10-13,20,12,14.81,14.65
7,1,2025-10-13,20,13,14.26,13.34
7,1,2025-10-13,30,14,14.81,14.71
7,1,2025-10-13,32,15,19.95,19.24
7,1,2025-10-13,32,16,19.79,19.99
7,1,2025-10-13,61,17,24.00,21.30
7,1,2025-10-13,61,18,24.00,23.00
7,1,2025-10-13,61,19,24.00,21.45
7,1,2025-10-13,72,20,14.26,13.60
7,1,2025-10-13,72,21,14.26,15.35
7,1,2025-10-13,71,22,13.64,14.76
7,1,2025-10-13,71,23,13.64,14.82
7,2,2025-10-13,17,0,57.97,49.93
7,2,2025-10-13,17,1,58.55,46.93
7,2,2025-10-13,17,2,57.97,43.92
7,2,2025-10-13,17,3,27.58,40.88
7,2,2025-10-13,17,4,57.97,38.42
7,2,2025-10-13,11,5,76.21,49.85
7,2,2025-10-13,11,6,76.21,57.75
7,2,2025-10-13,10,7,91.64,81.96
7,2,2025-10-13,10,8,91.64,82.52
7,2,2025-10-13,11,9,76.21,54.56
7,2,2025-10-13,11,10,76.21,64.67
7,2,2025-10-13,20,11,74.57,59.30
7,2,2025-10-13,20,12,74.57,61.97
7,2,2025-10-13,20,13,74.57,63.95
7,2,2025-10-13,30,14,93.51,87.87
7,2,2025-10-13,32,15,128.81,128.96
7,2,2025-10-13,32,16,147.27,139.05
7,2,2025-10-13,61,17,127.17,114.39
7,2,2025-10-13,61,18,144.00,114.83
7,2,2025-10-13,61,19,124.83,108.18
7,2,2025-10-13,72,20,113.61,98.38
7,2,2025-10-13,72,21,117.58,104.84
7,2,2025-10-13,71,22,132.55,118.56
7,2,2025-10-13,71,23,104.73,100.87
7,4,2025-10-13,17,0,33.04,36.01
7,4,2025-10-13,17,1,33.04,36.01
7,4,2025-10-13,17,2,33.04,36.01
7,4,2025-10-13,17,3,33.04,36.01
7,4,2025-10-13,17,4,33.04,36.01
7,4,2025-10-13,11,5,36.00,36.01
7,4,2025-10-13,11,6,36.00,27.21
7,4,2025-10-13,10,7,42.23,23.75
7,4,2025-10-13,10,8,42.23,31.01
7,4,2025-10-13,11,9,36.00,29.87
7,4,2025-10-13,11,10,36.00,22.24
7,4,2025-10-13,20,11,36.00,35.55
7,4,2025-10-13,20,12,36.00,19.52
7,4,2025-10-13,20,13,37.25,24.50
7,4,2025-10-13,30,14,44.73,28.23
7,4,2025-10-13,32,15,59.69,28.01
7,4,2025-10-13,32,16,59.69,29.62
7,4,2025-10-13,61,17,36.00,29.86
7,4,2025-10-13,61,18,35.84,32.15
7,4,2025-10-13,61,19,36.00,26.77
7,4,2025-10-13,72,20,39.74,29.70
7,4,2025-10-13,72,21,39.74,24.72
7,4,2025-10-13,71,22,79.02,34.51
7,4,2025-10-13,71,23,79.64,39.40
7,6,2025-10-13,17,0,43.38,44.68
7,6,2025-10-13,17,1,43.38,44.68
7,6,2025-10-13,17,2,43.38,44.68
7,6,2025-10-13,17,3,43.38,44.68
7,6,2025-10-13,17,4,43.38,44.68
7,6,2025-10-13,11,5,59.22,50.72
7,6,2025-10-13,11,6,59.22,90.17
7,6,2025-10-13,10,7,72.47,118.75
7,6,2025-10-13,10,8,72.47,163.44
7,6,2025-10-13,11,9,59.22,63.70
7,6,2025-10-13,11,10,59.22,59.19
7,6,2025-10-13,20,11,59.22,64.25
7,6,2025-10-13,20,12,59.22,72.73
7,6,2025-10-13,20,13,58.44,60.66
7,6,2025-10-13,30,14,69.61,80.45
7,6,2025-10-13,32,15,111.17,126.80
7,6,2025-10-13,32,16,111.17,132.73
7,6,2025-10-13,61,17,132.73,134.41
7,6,2025-10-13,61,18,132.73,134.90
7,6,2025-10-13,61,19,132.73,122.37
7,6,2025-10-13,72,20,129.87,108.09
7,6,2025-10-13,72,21,129.87,120.97
7,6,2025-10-13,71,22,92.47,121.49
7,6,2025-10-13,71,23,92.47,99.83
